name,Unnamed: 0,instrument_token,exchange_token,tradingsymbol,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
BANKNIFTY,4286,12166914,47527,BANKNIFTY20DEC17500CE,0.0,2020-12-31,17500.0,0.05,25,CE,NFO-OPT,NFO
BANKNIFTY,4287,12167426,47529,BANKNIFTY20DEC17500PE,0.0,2020-12-31,17500.0,0.05,25,PE,NFO-OPT,NFO
BANKNIFTY,4288,12167682,47530,BANKNIFTY20DEC17600CE,0.0,2020-12-31,17600.0,0.05,25,CE,NFO-OPT,NFO
BANKNIFTY,4289,12167938,47531,BANKNIFTY20DEC17600PE,0.0,2020-12-31,17600.0,0.05,25,PE,NFO-OPT,NFO
BANKNIFTY,4290,12168194,47532,BANKNIFTY20DEC17700CE,0.0,2020-12-31,17700.0,0.05,25,CE,NFO-OPT,NFO
BANKNIFTY,4291,12168962,47535,BANKNIFTY20DEC17700PE,0.0,2020-12-31,17700.0,0.05,25,PE,NFO-OPT,NFO
BANKNIFTY,4292,12169218,47536,BANKNIFTY20DEC17800CE,0.0,2020-12-31,17800.0,0.05,25,CE,NFO-OPT,NFO
BANKNIFTY,4293,12169474,47537,BANKNIFTY20DEC17800PE,0.0,2020-12-31,17800.0,0.05,25,PE,NFO-OPT,NFO
BANKNIFTY,4294,12169730,47538,BANKNIFTY20DEC17900CE,0.0,2020-12-31,17900.0,0.05,25,CE,NFO-OPT,NFO
BANKNIFTY,4295,12170242,47540,BANKNIFTY20DEC17900PE,0.0,2020-12-31,17900.0,0.05,25,PE,NFO-OPT,NFO
BANKNIFTY,4296,12170498,47541,BANKNIFTY20DEC18000CE,0.0,2020-12-31,18000.0,0.05,25,CE,NFO-OPT,NFO
BANKNIFTY,4297,12170754,47542,BANKNIFTY20DEC18000PE,0.0,2020-12-31,18000.0,0.05,25,PE,NFO-OPT,NFO
BANKNIFTY,4298,12171010,47543,BANKNIFTY20DEC18100CE,0.0,2020-12-31,18100.0,0.05,25,CE,NFO-OPT,NFO
BANKNIFTY,4299,12171778,47546,BANKNIFTY20DEC18100PE,0.0,2020-12-31,18100.0,0.05,25,PE,NFO-OPT,NFO
BANKNIFTY,4300,12172034,47547,BANKNIFTY20DEC18200CE,0.0,2020-12-31,18200.0,0.05,25,CE,NFO-OPT,NFO
BANKNIFTY,4301,12172546,47549,BANKNIFTY20DEC18200PE,0.0,2020-12-31,18200.0,0.05,25,PE,NFO-OPT,NFO
BANKNIFTY,4302,12172802,47550,BANKNIFTY20DEC18300CE,0.0,2020-12-31,18300.0,0.05,25,CE,NFO-OPT,NFO
BANKNIFTY,4303,12173058,47551,BANKNIFTY20DEC18300PE,0.0,2020-12-31,18300.0,0.05,25,PE,NFO-OPT,NFO
BANKNIFTY,4304,12173314,47552,BANKNIFTY20DEC18400CE,0.0,2020-12-31,18400.0,0.05,25,CE,NFO-OPT,NFO
BANKNIFTY,4305,12174082,47555,BANKNIFTY20DEC18400PE,0.0,2020-12-31,18400.0,0.05,25,PE,NFO-OPT,NFO
BANKNIFTY,4306,12180226,47579,BANKNIFTY20DEC18500CE,0.0,2020-12-31,18500.0,0.05,25,CE,NFO-OPT,NFO
BANKNIFTY,4307,12180482,47580,BANKNIFTY20DEC18500PE,0.0,2020-12-31,18500.0,0.05,25,PE,NFO-OPT,NFO
BANKNIFTY,4308,12181250,47583,BANKNIFTY20DEC18600CE,0.0,2020-12-31,18600.0,0.05,25,CE,NFO-OPT,NFO
BANKNIFTY,4309,12192770,47628,BANKNIFTY20DEC18600PE,0.0,2020-12-31,18600.0,0.05,25,PE,NFO-OPT,NFO
BANKNIFTY,4310,12193026,47629,BANKNIFTY20DEC18700CE,0.0,2020-12-31,18700.0,0.05,25,CE,NFO-OPT,NFO
BANKNIFTY,4311,12193282,47630,BANKNIFTY20DEC18700PE,0.0,2020-12-31,18700.0,0.05,25,PE,NFO-OPT,NFO
BANKNIFTY,4312,12195074,47637,BANKNIFTY20DEC18800CE,0.0,2020-12-31,18800.0,0.05,25,CE,NFO-OPT,NFO
BANKNIFTY,4313,12195330,47638,BANKNIFTY20DEC18800PE,0.0,2020-12-31,18800.0,0.05,25,PE,NFO-OPT,NFO
BANKNIFTY,4314,12196354,47642,BANKNIFTY20DEC18900CE,0.0,2020-12-31,18900.0,0.05,25,CE,NFO-OPT,NFO
BANKNIFTY,4315,12196610,47643,BANKNIFTY20DEC18900PE,0.0,2020-12-31,18900.0,0.05,25,PE,NFO-OPT,NFO
BANKNIFTY,4316,12196866,47644,BANKNIFTY20DEC19000CE,0.0,2020-12-31,19000.0,0.05,25,CE,NFO-OPT,NFO
BANKNIFTY,4317,12197122,47645,BANKNIFTY20DEC19000PE,0.0,2020-12-31,19000.0,0.05,25,PE,NFO-OPT,NFO
BANKNIFTY,4318,12199170,47653,BANKNIFTY20DEC19100CE,0.0,2020-12-31,19100.0,0.05,25,CE,NFO-OPT,NFO
BANKNIFTY,4319,12199426,47654,BANKNIFTY20DEC19100PE,0.0,2020-12-31,19100.0,0.05,25,PE,NFO-OPT,NFO
BANKNIFTY,4320,12199682,47655,BANKNIFTY20DEC19200CE,0.0,2020-12-31,19200.0,0.05,25,CE,NFO-OPT,NFO
BANKNIFTY,4321,12199938,47656,BANKNIFTY20DEC19200PE,0.0,2020-12-31,19200.0,0.05,25,PE,NFO-OPT,NFO
BANKNIFTY,4322,12200194,47657,BANKNIFTY20DEC19300CE,0.0,2020-12-31,19300.0,0.05,25,CE,NFO-OPT,NFO
BANKNIFTY,4323,12200450,47658,BANKNIFTY20DEC19300PE,0.0,2020-12-31,19300.0,0.05,25,PE,NFO-OPT,NFO
BANKNIFTY,4324,12220930,47738,BANKNIFTY20DEC19400CE,0.0,2020-12-31,19400.0,0.05,25,CE,NFO-OPT,NFO
BANKNIFTY,4325,12221186,47739,BANKNIFTY20DEC19400PE,0.0,2020-12-31,19400.0,0.05,25,PE,NFO-OPT,NFO
BANKNIFTY,4326,12227074,47762,BANKNIFTY20DEC19500CE,0.0,2020-12-31,19500.0,0.05,25,CE,NFO-OPT,NFO
BANKNIFTY,4327,12227330,47763,BANKNIFTY20DEC19500PE,0.0,2020-12-31,19500.0,0.05,25,PE,NFO-OPT,NFO
BANKNIFTY,4328,12235266,47794,BANKNIFTY20DEC19600CE,0.0,2020-12-31,19600.0,0.05,25,CE,NFO-OPT,NFO
BANKNIFTY,4329,12235522,47795,BANKNIFTY20DEC19600PE,0.0,2020-12-31,19600.0,0.05,25,PE,NFO-OPT,NFO
BANKNIFTY,4330,12237314,47802,BANKNIFTY20DEC19700CE,0.0,2020-12-31,19700.0,0.05,25,CE,NFO-OPT,NFO
BANKNIFTY,4331,12237570,47803,BANKNIFTY20DEC19700PE,0.0,2020-12-31,19700.0,0.05,25,PE,NFO-OPT,NFO
BANKNIFTY,4332,12240898,47816,BANKNIFTY20DEC19800CE,0.0,2020-12-31,19800.0,0.05,25,CE,NFO-OPT,NFO
BANKNIFTY,4333,12241154,47817,BANKNIFTY20DEC19800PE,0.0,2020-12-31,19800.0,0.05,25,PE,NFO-OPT,NFO
BANKNIFTY,4334,12242434,47822,BANKNIFTY20DEC19900CE,0.0,2020-12-31,19900.0,0.05,25,CE,NFO-OPT,NFO
BANKNIFTY,4335,12242690,47823,BANKNIFTY20DEC19900PE,0.0,2020-12-31,19900.0,0.05,25,PE,NFO-OPT,NFO
BANKNIFTY,4336,12261378,47896,BANKNIFTY20DEC20000CE,0.0,2020-12-31,20000.0,0.05,25,CE,NFO-OPT,NFO
BANKNIFTY,4337,12261634,47897,BANKNIFTY20DEC20000PE,0.0,2020-12-31,20000.0,0.05,25,PE,NFO-OPT,NFO
BANKNIFTY,4338,12263426,47904,BANKNIFTY20DEC20100CE,0.0,2020-12-31,20100.0,0.05,25,CE,NFO-OPT,NFO
BANKNIFTY,4339,12263682,47905,BANKNIFTY20DEC20100PE,0.0,2020-12-31,20100.0,0.05,25,PE,NFO-OPT,NFO
BANKNIFTY,4340,12264706,47909,BANKNIFTY20DEC20200CE,0.0,2020-12-31,20200.0,0.05,25,CE,NFO-OPT,NFO
BANKNIFTY,4341,12264962,47910,BANKNIFTY20DEC20200PE,0.0,2020-12-31,20200.0,0.05,25,PE,NFO-OPT,NFO
BANKNIFTY,4342,12266498,47916,BANKNIFTY20DEC20300CE,0.0,2020-12-31,20300.0,0.05,25,CE,NFO-OPT,NFO
BANKNIFTY,4343,12266754,47917,BANKNIFTY20DEC20300PE,0.0,2020-12-31,20300.0,0.05,25,PE,NFO-OPT,NFO
BANKNIFTY,4344,12268034,47922,BANKNIFTY20DEC20400CE,0.0,2020-12-31,20400.0,0.05,25,CE,NFO-OPT,NFO
BANKNIFTY,4345,12268290,47923,BANKNIFTY20DEC20400PE,0.0,2020-12-31,20400.0,0.05,25,PE,NFO-OPT,NFO
BANKNIFTY,4346,12279554,47967,BANKNIFTY20DEC20500CE,0.0,2020-12-31,20500.0,0.05,25,CE,NFO-OPT,NFO
BANKNIFTY,4347,12279810,47968,BANKNIFTY20DEC20500PE,0.0,2020-12-31,20500.0,0.05,25,PE,NFO-OPT,NFO
BANKNIFTY,4348,12280066,47969,BANKNIFTY20DEC20600CE,0.0,2020-12-31,20600.0,0.05,25,CE,NFO-OPT,NFO
BANKNIFTY,4349,12286978,47996,BANKNIFTY20DEC20600PE,0.0,2020-12-31,20600.0,0.05,25,PE,NFO-OPT,NFO
BANKNIFTY,4350,12287234,47997,BANKNIFTY20DEC20700CE,0.0,2020-12-31,20700.0,0.05,25,CE,NFO-OPT,NFO
