,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
0,12505090,48848,ACC20DEC1000CE,ACC,0.0,2020-12-31,1000.0,0.05,500,CE,NFO-OPT,NFO
1,12508930,48863,ACC20DEC1000PE,ACC,0.0,2020-12-31,1000.0,0.05,500,PE,NFO-OPT,NFO
2,12509186,48864,ACC20DEC1020CE,ACC,0.0,2020-12-31,1020.0,0.05,500,CE,NFO-OPT,NFO
3,12509442,48865,ACC20DEC1020PE,ACC,0.0,2020-12-31,1020.0,0.05,500,PE,NFO-OPT,NFO
4,12512002,48875,ACC20DEC1040CE,ACC,0.0,2020-12-31,1040.0,0.05,500,CE,NFO-OPT,NFO
5,12512258,48876,ACC20DEC1040PE,ACC,0.0,2020-12-31,1040.0,0.05,500,PE,NFO-OPT,NFO
6,12516354,48892,ACC20DEC1060CE,ACC,0.0,2020-12-31,1060.0,0.05,500,CE,NFO-OPT,NFO
7,12516610,48893,ACC20DEC1060PE,ACC,0.0,2020-12-31,1060.0,0.05,500,PE,NFO-OPT,NFO
8,12516866,48894,ACC20DEC1080CE,ACC,0.0,2020-12-31,1080.0,0.05,500,CE,NFO-OPT,NFO
9,12517122,48895,ACC20DEC1080PE,ACC,0.0,2020-12-31,1080.0,0.05,500,PE,NFO-OPT,NFO
10,12521218,48911,ACC20DEC1100CE,ACC,0.0,2020-12-31,1100.0,0.05,500,CE,NFO-OPT,NFO
11,12521474,48912,ACC20DEC1100PE,ACC,0.0,2020-12-31,1100.0,0.05,500,PE,NFO-OPT,NFO
12,12521730,48913,ACC20DEC1120CE,ACC,0.0,2020-12-31,1120.0,0.05,500,CE,NFO-OPT,NFO
13,12521986,48914,ACC20DEC1120PE,ACC,0.0,2020-12-31,1120.0,0.05,500,PE,NFO-OPT,NFO
14,12529666,48944,ACC20DEC1140CE,ACC,0.0,2020-12-31,1140.0,0.05,500,CE,NFO-OPT,NFO
15,12529922,48945,ACC20DEC1140PE,ACC,0.0,2020-12-31,1140.0,0.05,500,PE,NFO-OPT,NFO
16,12530178,48946,ACC20DEC1160CE,ACC,0.0,2020-12-31,1160.0,0.05,500,CE,NFO-OPT,NFO
17,12530434,48947,ACC20DEC1160PE,ACC,0.0,2020-12-31,1160.0,0.05,500,PE,NFO-OPT,NFO
